Questionnaire_Item,Statement,Dimension,Forward- or Reverse-coded item,Scoring
SD_N8,I am an average person.,Narcissism,Reverse,
SD_N9,I insist on getting the respect I deserve.,Narcissism,Forward,
SD_P1,I like to get revenge on authorities.,Psychopathy,Forward,
SD_P2,I avoid dangerous situations.,Psychopathy,Reverse,
SD_P3,Payback needs to be quick and nasty.,Psychopathy,Forward,
SD_P4,People often say I’m out of control.,Psychopathy,Forward,
SD_P5,It’s true that I can be mean to others.,Psychopathy,Forward,
SD_P6,People who mess with me always regret it.,Psychopathy,Forward,
SD_P7,I have never gotten into trouble with the law.,Psychopathy,Reverse,
SD_P8,I enjoy having sex with people I hardly know.,Psychopathy,Forward,
SD_P9,I’ll say anything to get what I want.,Psychopathy,Forward,
PVQ_01,It is important to him/her to form his/her views independently.,Self-Direction (SD),Forward,"Male and Female versions of the questionnaire available.

Respondents compare the person described to themselves and rate how similar the person is to them on a 6-point labeled scale:
1 = not like me at all
2 = not like me
3 = a little like me
4 = moderately like me
5 = like me
6 = very much like me"
PVQ_02,It is important to him/her that his/her country is secure and stable.,Security (SE),Forward,
PVQ_03,It is important to him/her to have a good time.,Hedonism (HE),Forward,
PVQ_04,It is important to him/her to avoid upsetting other people.,Conformity (CO),Forward,
PVQ_05,It is important to him/her that the weak and vulnerable in society be protected.,Universalism (UN),Forward,
PVQ_06,It is important to him/her that people do what he/she says they should.,Power (PO),Forward,
PVQ_07,It is important to him/her never to think he/she deserves more than other people.,Humility (HUM),Forward,
PVQ_08,It is important to him/her to care for nature.,Universalism (UN),Forward,
PVQ_09,It is important to him/her that no one should ever shame him/her.,Face (FA),Forward,
PVQ_10,It is important to him/her always to look for different things to do.,Stimulation (ST),Forward,
PVQ_11,It is important to him/her to take care of people he/she is close to.,Benevolence (BE),Forward,
PVQ_12,It is important to him/her to have the power that money can bring.,Power (PO),Forward,
PVQ_13,It is very important to him/her to avoid disease and protect his/her health.,Security (SE),Forward,
PVQ_14,It is important to him/her to be tolerant toward all kinds of people and groups.,Universalism (UN),Forward,
PVQ_15,It is important to him/her never to violate rules or regulations.,Conformity (CO),Forward,
PVQ_16,It is important to him/her to make his/her own decisions about his/her life.,Self-Direction (SD),Forward,
PVQ_17,It is important to him/her to have ambitions in life.,Achievement (AC),Forward,
PVQ_18,It is important to him/her to maintain traditional values and ways of thinking.,Tradition (TR),Forward,
PVQ_19,It is important to him/her that people he/she knows have full confidence in him/her.,Benevolence (BE),Forward,
PVQ_20,It is important to him/her to be wealthy.,Power (PO),Forward,
PVQ_21,It is important to him/her to take part in activities to defend nature.,Universalism (UN),Forward,
PVQ_22,It is important to him/her never to annoy anyone.,Conformity (CO),Forward,
PVQ_23,It is important to him/her to develop his/her own opinions.,Self-Direction (SD),Forward,
PVQ_24,It is important to him/her to protect his/her public image.,Face (FA),Forward,
PVQ_25,It is very important to him/her to help the people dear to him/her.,Benevolence (BE),Forward,
PVQ_26,It is important to him/her to be personally safe and secure.,Security (SE),Forward,
PVQ_27,It is important to him/her to be a dependable and trustworthy friend.,Benevolence (BE),Forward,
PVQ_28,It is important to him/her to take risks that make life exciting.,Stimulation (ST),Forward,
PVQ_29,It is important to him/her to have the power to make people do what he/she wants.,Power (PO),Forward,
PVQ_30,It is important to him/her to plan his/her activities independently.,Self-Direction (SD),Forward,
PVQ_31,It is important to him/her to follow rules even when no-one is watching.,Conformity (CO),Forward,
PVQ_32,It is important to him/her to be very successful.,Achievement (AC),Forward,
PVQ_33,It is important to him/her to follow his/her family’s customs or the customs of a religion.,Tradition (TR),Forward,
PVQ_34,It is important to him/her to listen to and understand people who are different from him/her.,Universalism (UN),Forward,
PVQ_35,It is important to him/her to have a strong state that can defend its citizens.,Security (SE),Forward,
PVQ_36,It is important to him/her to enjoy life’s pleasures.,Hedonism (HE),Forward,
PVQ_37,It is important to him/her that every person in the world have equal opportunities in life.,Universalism (UN),Forward,
PVQ_38,It is important to him/her to be humble.,Humility (HUM),Forward,
PVQ_39,It is important to him/her to figure things out him/herself.,Self-Direction (SD),Forward,
PVQ_40,It is important to him/her to honor the traditional practices of his/her culture.,Tradition (TR),Forward,
PVQ_41,It is important to him/her to be the one who tells others what to do.,Power (PO),Forward,
PVQ_42,It is important to him/her to obey all the laws.,Conformity (CO),Forward,
PVQ_43,It is important to him/her to have all sorts of new experiences.,Stimulation (ST),Forward,
PVQ_44,It is important to him/her to own expensive things that show his/her wealth.,Power (PO),Forward,
PVQ_45,It is important to him/her to protect the natural environment from destruction or pollution.,Universalism (UN),Forward,
PVQ_46,It is important to him/her to take advantage of every opportunity to have fun.,Hedonism (HE),Forward,
PVQ_47,It is important to him/her to concern him/herself with every need of his/her dear ones.,Benevolence (BE),Forward,
PVQ_48,It is important to him/her that people recognize what he/she achieves.,Achievement (AC),Forward,
PVQ_49,It is important to him/her never to be humiliated.,Face (FA),Forward,
PVQ_50,It is important to him/her that his/her country protect itself against all threats.,Security (SE),Forward,
PVQ_51,It is important to him/her never to make other people angry.,Conformity (CO),Forward,
PVQ_52,"It is important to him/her that everyone be treated justly, even people he/she doesn’t know.",Universalism (UN),Forward,
PVQ_53,It is important to him/her to avoid anything dangerous.,Security (SE),Forward,
PVQ_54,It is important to him/her to be satisfied with what he/she has and not ask for more.,Humility (HUM),Forward,
PVQ_55,It is important to him/her that all his/her friends and family can rely on him/her completely.,Benevolence (BE),Forward,
PVQ_56,It is important to him/her to be free to choose what he/she does by him/herself.,Self-Direction (SD),Forward,
PVQ_57,It is important to him/her to accept people even when he/she disagrees with them.,Universalism (UN),Forward,
